company_code,report_period,split,mkt_market_cap,mkt_log_market_cap,mkt_pe_ratio,mkt_pb_ratio,mkt_market_cap_qoq,mkt_pe_change_qoq,mkt_pb_change_qoq,mkt_cap_industry_zscore,mkt_pb_industry_zscore,mkt_return_5d,mkt_return_20d,mkt_return_60d,mkt_excess_return_20d,mkt_volatility_20d,mkt_volatility_60d,mkt_max_drawdown_60d,mkt_extreme_down_days_20d,mkt_volume_ratio_20d,mkt_amount_ratio_20d,mkt_volume_cv_20d,mkt_amount_cv_20d,mkt_abnormal_volume_days_20d,mkt_zero_volume_days_20d,mkt_amihud_illiquidity_20d,mkt_financing_balance,mkt_securities_balance,mkt_margin_total_balance,mkt_financing_balance_change,mkt_institutional_holding_ratio,mkt_institutional_holding_change,mkt_institutional_holder_count,mkt_risk_warning_count_30d,mkt_risk_warning_count_90d,mkt_risk_warning_flag_30d,mkt_days_since_last_risk_warning
688005.SH,20210930,Train,48430195144.8,24.60338932279386,100.9413,10.045,-0.1068307763869602,-75.44770000000001,-1.7120999999999995,0.4571531821460415,0.5948407609380756,-0.0477526664627827,-0.0902354713242775,-0.0829776090917118,-0.093546189842114,0.0485827073797327,0.0562590962882377,-0.3254631821536491,3.0,0.5559859664834435,0.5264051442013709,0.2980046055124702,0.2810926677884628,1.0,0.0,4.312673394971654e-05,886750726.0,129038117.0,1015788843.0,-0.0122108682590184,94.082152,-22.744365,65.0,0,0,0,121.0
688005.SH,20211231,Train,51784189506.56,24.6703507177604,79.8736,10.3039,0.0692541987851171,-21.0677,0.2589000000000006,0.6495532033000632,0.7379070577301824,0.1221362980960971,-0.1501485104649218,0.1070868814284999,-0.1812895387784028,0.0342472746180742,0.03660401207439,-0.2740362473995786,1.0,1.652052020219609,1.5846376604242214,0.3188082547888042,0.3049619820641164,1.0,0.0,3.407578578367261e-05,949681489.0,93448857.0,1043130346.0,0.0399073681910691,110.139344,16.057192,488.0,0,0,0,213.0
688005.SH,20220331,Train,57985030333.44,24.78345071649782,63.647,10.6806,0.1197439003287768,-16.226599999999998,0.3766999999999996,0.9815663176938596,0.9213976856714364,-0.0518681547791193,-0.0722584913322428,0.2115734079842661,-0.0102871614722686,0.0676151685225017,0.049927608206992,-0.293558832009149,4.0,0.9170195443591757,0.9588846527955456,0.6356367186221197,0.5397583968320798,1.0,0.0,3.864223546773551e-05,770503309.0,164923057.4600002,949670416.0,0.0013497148487313,111.26958,1.1302359999999965,194.0,0,0,0,303.0
688005.SH,20220630,Train,57993991086.08,24.783605240178883,53.4995,10.2707,0.0001545356204604,-10.1475,-0.4099000000000004,0.79781192864542,0.7530617501815857,0.0196138522520816,0.400108529572422,-0.0724126346797726,0.3267591680953947,0.0466417020956455,0.0429923382982527,-0.3602608298886549,2.0,0.6607729469791004,0.7434053920906842,0.298566315147346,0.3061960420063052,1.0,0.0,3.2183934335645074e-05,951448887.0,164923057.4600002,1189428857.0,-0.0285545317030989,120.793117,9.523537000000005,596.0,0,0,0,394.0
688005.SH,20220930,Train,37941826749.75,24.359319948706148,28.6135,6.121,-0.3457627930205172,-24.886,-4.149699999999999,0.6832596178507083,0.3351389053100435,-0.0670730354802353,-0.1611847457078898,-0.4255962822853671,-0.0810261320388756,0.0264305110911015,0.0272610006652526,-0.4560077853712688,2.0,0.8432252303471754,0.7514087530164953,0.2276730965197378,0.2560004353605384,2.0,0.0,3.51951157464016e-05,1581589253.0,102846447.0,1684435700.0,-0.0252148943960526,88.846357,-31.94676,33.0,0,0,0,486.0
688005.SH,20221231,Train,30998224468.75,24.15719576462192,24.2089,4.8274,-0.1830065359477124,-4.404599999999999,-1.2936000000000003,0.6589851463066619,0.0328382121703822,0.0281153204857902,-0.1085300264744572,-0.1830036053768892,-0.0546701133728604,0.0199825226058857,0.0328293010170801,-0.2569989514728745,0.0,0.7514551252816866,0.7086295484250216,0.2736671408026931,0.3196549538179846,1.0,0.0,5.320041825463267e-05,1487669572.0,81847975.0,1569517547.0,-0.0066165618126786,100.043569,11.197211999999992,347.0,0,0,0,578.0
688005.SH,20230331,Train,30840415326.0,24.152091852703908,22.7902,4.4281,-0.0050909090909091,-1.4187000000000012,-0.3993000000000002,0.750723439972,-0.0754592038162723,-0.0569419874191224,-0.0165355804906357,-0.0228600454432214,0.0007986756903097,0.0242860509313365,0.0215053152194487,-0.1737866119671057,0.0,0.8330456385593148,0.8096666166766476,0.3245276502645305,0.3333928530843393,1.0,0.0,5.282633574676985e-05,1525045560.0,87488798.0,1612534358.0,-0.00805489737104,85.405067,-14.638501999999988,20.0,0,0,0,668.0
688005.SH,20230630,Train,24363598014.0,23.916355970646464,17.7626,3.4307,-0.2100107032780366,-5.0276,-0.9973999999999998,0.5596257208299111,-0.2205207273381109,0.0665339437643268,-0.0615025615175595,-0.2035465704335705,-0.08559952803016,0.0251408930997415,0.022546970252327,-0.2939474461827148,0.0,1.7159127931771267,1.712814379529735,0.3347073530798071,0.3104536105312415,1.0,0.0,6.929189137018303e-05,1259083824.0,121826714.0,1380910538.0,-0.0002098657203853,101.299421,15.894353999999993,334.0,0,0,0,759.0
688005.SH,20230930,Train,20324740005.39,23.73510470048494,20.3951,2.3653,-0.1657742836788376,2.6325000000000003,-1.0654,0.7373496849118686,-0.3098568199735007,-0.016635203089068,-0.1760911800439074,-0.2187271441796219,-0.1762448290060475,0.0173864219372172,0.0202939763046355,-0.2410488255901769,0.0,1.2860894948977084,1.1904226424429942,0.4326948811490687,0.4503005295305762,1.0,0.0,9.261772220689952e-05,1353355816.0,164923057.4600002,1690116549.0,0.0101247389980554,85.441305,-15.858115999999995,25.0,0,0,0,851.0
688005.SH,20231231,Train,19272098802.4,23.681924229030813,18.3371,2.18,-0.0517911275967537,-2.058,-0.1852999999999998,0.7508368675750677,-0.356291968565233,0.0429780778717963,0.0356508939658086,-0.051699026026538,0.040565118501383,0.0244640567670742,0.0224607888097442,-0.1853966948689682,0.0,0.9931359271726716,1.0151556007019733,0.4425348734565972,0.4643202282274726,1.0,0.0,0.0001028111098279,1271021158.0,164923057.4600002,1562086797.0,-0.0017124399432916,101.290128,15.848822999999996,254.0,0,0,0,943.0
688005.SH,20240331,Train,13829425673.28,23.350064454232225,23.319,1.5897,-0.2824120603015075,4.9819,-0.5903000000000003,0.5000093740363771,-0.3797074871452791,0.0163702430960197,-0.1069414745912851,-0.2383997578259937,-0.1367722727589144,0.0389085739019252,0.0363576619244942,-0.3522921842983777,0.0,1.0478148429028735,0.9910285027404646,0.3972134132331903,0.3999360201753371,1.0,0.0,0.0001092798161599,1210016651.0,97177799.0,1307194450.0,-0.0066658225740939,78.679655,-22.610473,22.0,0,0,0,1034.0
688005.SH,20240630,Train,11244930461.52,23.14318323848085,48.3161,1.3248,-0.1868837703617392,24.9971,-0.2648999999999999,0.5232010671030107,-0.3912716501430284,-0.0486307872207828,-0.1916662110737208,-0.1580460364672115,-0.1167546754837621,0.0269470854537183,0.0392829281602877,-0.3708099222871934,1.0,0.6747056288820092,0.6138162828745239,0.555369266285254,0.5871832099138641,1.0,0.0,0.0001175423754241,1205227075.0,42586174.0,1247813249.0,-0.000581331498084,84.534392,5.854737,178.0,0,0,0,1125.0
688005.SH,20240930,Train,14007860111.0,23.362884445586552,66.1072,1.6704,0.2457044673539519,17.791100000000007,0.3456000000000001,0.8129610410292428,-0.3533482728795999,0.3064832856948631,0.4016434774046908,0.3257343168360842,0.1369753761002201,0.0532665477705977,0.0397191460953183,-0.174615191481503,0.0,3.643078003106141,4.7532949920366026,0.6075870663324242,0.7761489534463473,1.0,0.0,0.0001675642899965,1110475238.0,2465957.0,1112941195.0,-0.0065906820083986,70.92236100000001,-13.612030999999988,21.0,0,0,0,1147.0
688005.SH,20241231,Train,15239585741.45,23.44716220458153,187.224,1.8021,0.0879310344827586,121.11679999999998,0.1316999999999999,0.7428704641260075,-0.4065534878444279,-0.0668446289455467,-0.1236123985146553,-0.0801762052591078,-0.0538568426287255,0.0183239715974084,0.0420710722600948,-0.2590433938357133,0.0,0.8636875963683761,0.8129665392285313,0.2226484306057947,0.2433332790864277,1.0,0.0,5.653320599367994e-05,1123068539.0,4053702.0,1127122241.0,-0.0023912031850974,91.160564,20.238202999999984,336.0,0,0,0,1147.0
688007.SH,20200331,Train,10629590834.94,23.086907537114485,56.0616,5.3705,-0.0098622696198841,-0.0067999999999983,-0.0245000000000001,0.2854431638234846,0.5332735503304167,-0.0477348660860886,-0.1820711070429754,-0.1458642090408026,-0.094690206855154,0.0227770191166331,0.0435226175105061,-0.2956310783237433,1.0,0.5062077812352379,0.4449650476929985,0.3254401945941044,0.3819133452507138,0.0,0.0,0.0004322665295865,54408359.0,6347279.0,60755638.0,-0.0129825105058127,431.8971540200001,-0.1361910000000037,15.0,0,0,0,220.0
688007.SH,20200630,Train,11496575304.06,23.16531502840452,66.8673,5.7448,0.0815632965165673,10.805700000000002,0.3742999999999998,0.1456014301630606,0.4014086611145523,-0.0177473243857284,-0.0207694538499474,0.0765354098647004,-0.0988754792687489,0.0201536246040651,0.0310798085281386,-0.1361995418335057,0.0,0.5419757638602344,0.516826271398878,0.556725256061974,0.5919763600932157,1.0,0.0,0.0002790608189148,63240466.0,30083689.0,93324155.0,-0.0063647025382811,431.8971540200001,0.5110850000000937,24.0,0,0,0,220.0
688007.SH,20200930,Train,9920650409.67,23.0178843216856,73.9215,5.0272,-0.1370777690494893,7.0541999999999945,-0.7176,-0.0037365915488035,0.2510646723968894,-0.0578887745675387,-0.0868654031913822,-0.2318169039984622,-0.0272594912184669,0.017929887144389,0.0292267166808399,-0.3063286302327128,0.0,0.86263963595987,0.8107985440927041,0.40066527252194,0.421696322019588,1.0,0.0,0.0002874776936352,92309712.0,46419600.0,138729312.0,-0.01478885416299,114.614865,-57.11257978,13.0,0,0,0,220.0
688007.SH,20201231,Train,8398640513.55,22.851335686191653,78.8863,4.1307,-0.1534183579976212,4.964800000000011,-0.8964999999999996,-0.1375093686729796,0.0965202717382192,-0.0457810227006308,-0.1659159018362992,-0.1556656191954823,-0.1259831039375393,0.0206701372650319,0.0191849251516542,-0.2150254092230155,1.0,0.9590626233422306,0.8484767085209661,0.381197944262422,0.3727063042513229,1.0,0.0,0.0004800686073981,98045938.0,47787527.0,145833465.0,-0.0299561553677089,116.161463,1.546598000000003,40.0,0,0,0,220.0
688007.SH,20210331,Train,9779549061.6,23.00355921181152,86.6717,4.6769,0.1644204851752022,7.785399999999996,0.5461999999999998,0.0050933508181968,0.2332546518833561,-0.0784984571175375,-0.16279067769816,0.1650495713921917,-0.1644693838232263,0.0289431828979322,0.0341917718541338,-0.2002961515967972,1.0,0.9457860786737629,0.84473265839052,0.5153714930323366,0.5560173756346339,1.0,0.0,0.0003676932983075,130042686.0,18850882.0,148893568.0,0.0160200329635593,108.977091,-7.184371999999996,15.0,0,0,0,220.0
688007.SH,20210630,Train,18961459013.88,23.665674283074217,122.3834,8.932,0.9388888888888888,35.71169999999999,4.2551000000000005,0.642017627992988,0.6035925046801585,0.0108619393207971,0.3345416028586236,0.8148248371603373,0.2840536536011708,0.0371591142173548,0.0329104690046313,-0.0962670407517083,0.0,0.6660209031267391,0.7285392423364532,0.2894110061664766,0.2837397595243308,1.0,0.0,0.0001251504057638,123914397.0,110582297.0,234496694.0,0.0427741446496476,126.454791,17.4777,243.0,0,0,0,220.0
688007.SH,20210930,Train,11862230806.2,23.19662530787049,47.2722,5.1032,-0.3744030563514804,-75.1112,-3.8288,0.1711527053688229,-0.0046013195965442,-0.0437969104633333,-0.124624685670879,-0.3177083346371009,-0.1279354041887155,0.0245570373954617,0.0300148959718148,-0.303005763119389,1.0,0.9741799284665336,0.8907003391967181,0.2515311992883964,0.2402803157201212,0.0,0.0,0.0001195203707469,177720317.0,83301773.0,261022090.0,-0.0298723824833213,99.138356,-27.316435,21.0,0,0,0,220.0
688007.SH,20211231,Train,15552199549.35,23.4674679157518,55.334,6.4667,0.3110687022900762,8.061800000000005,1.3635000000000002,0.3600252170668725,0.225559578889232,0.0415404168434971,0.1616494234551304,0.2409642163673737,0.1305083951416494,0.0321962199832608,0.0415457106437143,-0.2335133842330021,0.0,1.043292835904528,1.140603568073021,0.5086372569815009,0.5440637729494612,1.0,0.0,0.000153310155388,377481217.0,50583810.0,428065027.0,-0.018046536359181,110.867111,11.728754999999992,188.0,0,0,0,220.0
688007.SH,20220331,Train,9331319729.61,22.956642292028675,42.0405,3.8354,-0.3822623742015089,-13.293500000000002,-2.6313000000000004,0.1823126118393301,-0.1303172214891768,-0.053719009526057,-0.2706993625477426,-0.3561375988812918,-0.2087280326877684,0.0248914288092994,0.027217812444814,-0.4061123946101875,3.0,0.718742939916152,0.6338103773715315,0.30607627717559,0.34237599406199,1.0,0.0,0.0002437966444661,330720688.0,24129013.0,354849701.0,-0.0126727629498749,90.280934,-20.586176999999992,16.0,0,0,0,220.0
688007.SH,20220630,Train,11001992694.3,23.12134224745654,55.9005,4.5401,0.1790393013100435,13.86,0.7046999999999999,0.5064682901396376,-0.005520538450615,-0.0333764865708084,0.3359219138288822,0.1678135910020963,0.2625725523518549,0.0507706713664234,0.0401960523483845,-0.2806101733730322,1.0,0.6868448839580528,0.7422598727753636,0.4003742229309033,0.4038342462482648,1.0,0.0,0.0001796638583727,363242697.0,13902540.0,377145237.0,-0.0160297302442942,102.311187,12.030253000000002,113.0,0,0,0,220.0
688007.SH,20220930,Train,9600301045.86,22.985060293976435,75.0511,3.7866,-0.1274034338494151,19.150600000000004,-0.7534999999999998,0.6187620944679243,0.0291287738794424,-0.0778999607755044,-0.1642217687433492,-0.0656310569706688,-0.084063155074335,0.0396444538767636,0.0388492208346126,-0.3048505885826931,2.0,0.6247331032992842,0.5327632390860416,0.325665680891425,0.38709523654003,1.0,0.0,0.0002457532516468,328765252.0,9176175.0,337941427.0,0.0028951408249289,47.078574,-55.232613,18.0,0,0,0,220.0
688007.SH,20221231,Train,11363693394.68,23.153689320257588,100.2356,4.3391,0.183680942961725,25.1845,0.5525000000000002,0.8672662095065475,0.1203308718201016,-0.0193295145590708,-0.054033953065549,0.1798751040004522,-0.0001740399639522,0.0166257219870137,0.0288036791891283,-0.1017827108406898,0.0,0.8873012932514299,0.855583000439446,0.4182318821011693,0.4227464132087756,1.0,0.0,0.000132730960214,332044583.0,6573282.0,338617865.0,-0.0012575997701131,57.047907,9.969333,153.0,0,0,0,220.0
688007.SH,20230331,Train,10810593273.7,23.103792349117462,89.9892,4.0821,-0.0486725663716813,-10.246400000000008,-0.2570000000000005,0.5988990039629596,-0.0011304442505801,-0.0178567589136863,-0.110567950275658,-0.0644758864331875,-0.0932336940947125,0.0236515037698729,0.0214624140534031,-0.2203661224353779,2.0,0.6896393597782555,0.6576204932165122,0.4130324630265321,0.4327451883944138,2.0,0.0,0.0001562938656355,379771580.0,1109965.0,380881545.0,-0.0014431567157254,46.431282,-10.616625000000006,20.0,0,0,0,220.0
688007.SH,20230630,Train,9530692167.3,22.97778318243676,82.7055,3.5968,-0.1183932346723045,-7.283699999999996,-0.4852999999999996,0.5704456583497987,-0.0791461631126445,0.0160819850990516,-0.0195450026341824,-0.111252811444634,-0.0436419691467829,0.0180971627973325,0.0186567387487693,-0.2375467589481489,0.0,1.0143576371875045,1.014394796425231,0.1967319669767068,0.2032050287772928,0.0,0.0,0.0002631623642695,369731244.0,723015.0,370454259.0,-0.0075166889199558,56.7463,10.315018000000002,131.0,0,0,0,220.0
688007.SH,20230930,Train,11694326065.2,23.182369609516225,78.8086,4.2127,0.2270174988258957,-3.896900000000002,0.6158999999999999,1.0829301973978358,0.1746866958984345,0.0539423455251242,0.1155013420607802,0.1819413297693732,0.1153476930986401,0.0358336486196615,0.0277633646958495,-0.092016013764607,2.0,0.8965795686999103,0.9091148029090008,0.575875474229694,0.6095810277919441,1.0,0.0,0.0001444395688514,376860752.0,13795832.0,390656584.0,-0.0425906653284234,45.029527,-11.716772999999996,23.0,0,0,0,220.0
688007.SH,20231231,Train,11962029427.44,23.205003255726258,76.3646,4.1714,0.0228917306347933,-2.4440000000000026,-0.0412999999999996,1.3196376093725404,0.0444112030496281,0.004658209341722,-0.091291545083406,0.0188976855993914,-0.0863773205478317,0.0316214862638814,0.0318516217315175,-0.1868334412159989,1.0,1.014705753128018,0.993557832482887,0.4822194002159308,0.4658332131896933,1.0,0.0,0.0001339932175055,484133439.0,73469283.0,557602722.0,-0.0134310264366307,51.026927,5.997399999999999,172.0,0,0,0,220.0
688007.SH,20240331,Train,4952481260.48,22.32315455288116,20.85245,2.2952,-0.0098622696198841,-0.0067999999999983,-0.0245000000000001,-0.3166916259597537,-0.1983430070872036,-0.0552605904057714,-0.0923939864108031,-0.2958420380275258,-0.1222247845784324,0.0232797905183082,0.032196778944287,-0.4091967601633249,0.0,0.7237033786120131,0.6700652744112048,0.1967319669767068,0.2032050287772928,1.0,0.0,0.0001805875534649,413692417.0,34179187.0,447871604.0,-0.0073125143283339,42.835084,-8.191842999999999,17.0,0,0,0,220.0
688007.SH,20240630,Train,7488651410.8,22.73665456643516,55.854,2.6138,-0.0098622696198841,-0.0067999999999983,-0.0245000000000001,0.816781068390064,-0.0760445855408017,-0.063953229033273,-0.0794723885087971,-0.0878172461706784,-0.0045608529188384,0.0209535526855797,0.02908802945646,-0.2163644496384541,0.0,1.3724728625284333,1.3071560452024074,0.2352088425465832,0.2315244439860663,0.0,0.0,0.0001577321100911,456765375.0,21496012.0,478261387.0,-0.0052713248314011,44.253935,1.4188509999999963,121.0,0,0,0,220.0
688007.SH,20240930,Train,7674704862.0,22.76119567534804,195.8747,2.7899,0.0248447204968944,140.02069999999998,0.1760999999999999,0.6476559941401758,-0.0993470367742867,0.3064832856948631,0.1402912274237591,0.0941372403756353,-0.1243768738807116,0.0496333677134275,0.0339517289988658,-0.2398866698908311,1.0,3.832627186224776,4.61736523875669,0.6985413747782071,0.8068381976830756,1.0,0.0,0.0003307302316858,363980517.0,938784.0,364919301.0,-0.0116649196818546,39.8413,-4.4126349999999945,9.0,0,0,0,220.0
688007.SH,20241231,Train,6792916034.55,22.63914614664197,386.5288,2.568,-0.1148954706800554,190.6541,-0.2218999999999997,0.3034026232984009,-0.3260846288695207,-0.0639245197429925,-0.1284622180635768,-0.2332795271971823,-0.058706662177647,0.016554331282175,0.0313394149301277,-0.182420201718311,0.0,1.0563438073927085,0.9606005300308814,0.1967319669767068,0.2211741299994039,1.0,0.0,0.0001398405197707,433615784.0,552244.0,434168028.0,0.0070484157667096,45.616806,5.775506,144.0,0,0,0,220.0
688008.SH,20200331,Train,90147850203.31,25.224716939437407,96.6362,12.2989,-0.0098622696198841,-0.0067999999999983,-0.0245000000000001,3.545197295911786,0.6957278654742213,0.0471132958694677,-0.1310183675214605,0.0872035596168956,-0.0436374673336391,0.0473371099280969,0.0600383319291021,-0.3451117401757212,2.0,0.7161861411278042,0.6816400224738367,0.3414955348721997,0.3637644731075058,1.0,0.0,6.854162103483499e-05,290340540.0,55943961.0,346284501.0,0.0013905416883652,431.8971540200001,-0.1361910000000037,30.0,0,0,0,220.0
688008.SH,20200630,Train,114879476233.52,25.46714938299603,118.4195,14.955,0.2743451560345908,21.7833,2.6561000000000003,3.394128547912016,2.6230584787417426,0.1396541840053085,0.144142967302121,0.321035518533572,0.0660369418833195,0.0364599971035307,0.0377477674452597,-0.2009479343538935,1.0,1.2213232241122314,1.3233597343234775,0.4420806443391565,0.5095512740506188,1.0,0.0,7.027470305625667e-05,358153344.0,72834401.0,430987745.0,0.0616713669727897,431.8971540200001,15.43798000000004,155.0,0,0,0,220.0
688008.SH,20200930,Train,90362514842.22,25.227095359535863,83.3944,11.6803,-0.2134146341463414,-35.025099999999995,-3.2747,2.402255770476053,2.43143433727806,-0.0410079178384915,-0.0349910287350435,-0.2920889599435885,0.0246148832378717,0.0337635980535796,0.0307925523339902,-0.3774267203728698,1.0,0.914764159458074,0.9196221045333433,0.3104049340635323,0.3273742105931281,1.0,0.0,5.985649265247038e-05,722447243.0,559860.0,723007103.0,-0.0147566908872385,182.578232,-57.11257978,37.0,0,0,0,220.0
688008.SH,20201231,Train,93638975120.32,25.26271253462798,87.7495,11.7885,0.0362590647661915,4.355099999999993,0.1082,1.7115073683238864,2.2591381597380336,-0.0320008459724838,0.0375560691849816,0.03625762331335,0.0774888670837415,0.0279093376780773,0.0284541548695063,-0.1868050493729056,0.0,0.8644442224552052,0.8189811948237442,0.6121914941678113,0.6461473658840942,1.0,0.0,3.050549363559052e-05,446677396.0,2643623.0,449321019.0,0.0008864197404885,195.962153,13.383921000000017,328.0,0,0,0,220.0
688008.SH,20210331,Train,69219056869.2,24.960542049955325,62.7164,8.6813,-0.2607879701773967,-25.0331,-3.1072000000000006,1.452807273513211,1.7164980747532026,-0.0513104524001187,-0.1878994662324213,-0.2503691976228631,-0.1895781723574876,0.0245531219110512,0.03391963962537,-0.3843065650077324,1.0,1.0955634784620771,0.9993625810338193,0.2554100433684692,0.2336359125829764,0.0,0.0,5.353450943954402e-05,665632338.0,69837340.0,735469678.0,0.0115101358671878,184.266482,-11.695671000000004,38.0,0,0,0,220.0
