company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000036.SZ,20210930,0,0.10781356269173925,sent_read_count_30d,positive_risk,0.21391,regulatory_inquiry_semantic_001,negative_risk,-0.15897,f2_p_roa,negative_risk,-0.15019,f6_attention_letter_count,positive_risk,0.13049,f6_inquiry_count_60m,negative_risk,-0.11726
000036.SZ,20211231,0,0.08431658198991668,mkt_institutional_holder_count,negative_risk,-0.16953,regulatory_inquiry_semantic_001,negative_risk,-0.16504,sent_read_count_30d,positive_risk,0.14853,governance_year,positive_risk,0.12028,f2_p_roa,negative_risk,-0.1198
000036.SZ,20220331,0,0.08161409509161267,regulatory_inquiry_semantic_001,negative_risk,-0.1665,sent_read_count_30d,positive_risk,0.16234,f2_p_roa,negative_risk,-0.14453,f6_attention_letter_count,positive_risk,0.13273,f6_inquiry_count_60m,negative_risk,-0.12097
000036.SZ,20220630,0,0.04795305199625337,regulatory_inquiry_semantic_001,negative_risk,-0.17576,mkt_institutional_holder_count,negative_risk,-0.17044,sent_read_count_30d,negative_risk,-0.13817,f6_inquiry_count_60m,negative_risk,-0.13141,sent_comment_count_30d,positive_risk,0.12766
000036.SZ,20220930,0,0.07613404844114656,f6_last_inquiry_interval_days,negative_risk,-0.3997,regulatory_inquiry_semantic_001,negative_risk,-0.19314,sent_post_count_5d,positive_risk,0.18035,sent_read_count_30d,positive_risk,0.16767,governance_year,positive_risk,0.14075
000036.SZ,20221231,0,0.04574458266124583,f6_last_inquiry_interval_days,negative_risk,-0.50693,regulatory_inquiry_semantic_001,negative_risk,-0.19536,mkt_institutional_holder_count,negative_risk,-0.17692,sent_read_count_30d,positive_risk,0.12746,f2_p_roa,negative_risk,-0.12434
000036.SZ,20230331,0,0.031213836878386993,f6_last_inquiry_interval_days,negative_risk,-0.37658,mkt_volatility_20d,negative_risk,-0.24588,regulatory_inquiry_semantic_001,negative_risk,-0.20816,mkt_volume_ratio_20d,positive_risk,0.13066,f2_p_roa,negative_risk,-0.12877
000036.SZ,20230630,0,0.024750434240539892,f6_last_inquiry_interval_days,negative_risk,-0.52461,regulatory_inquiry_semantic_001,negative_risk,-0.2144,mkt_institutional_holder_count,negative_risk,-0.20736,sent_read_count_30d,negative_risk,-0.15921,f6_inquiry_count_60m,negative_risk,-0.12636
000036.SZ,20230930,0,0.04728545742442673,f6_last_inquiry_interval_days,negative_risk,-0.46741,regulatory_inquiry_semantic_001,negative_risk,-0.20951,mkt_institutional_holder_count,positive_risk,0.19037,sent_read_count_30d,negative_risk,-0.13302,f6_attention_letter_count,positive_risk,0.12267
000036.SZ,20231231,0,0.020931729670627758,f6_last_inquiry_interval_days,negative_risk,-0.54568,f6_first_inquiry_interval_days,negative_risk,-0.31596,mkt_volatility_20d,negative_risk,-0.26023,mkt_institutional_holder_count,negative_risk,-0.21514,regulatory_inquiry_semantic_001,negative_risk,-0.21508
